"","R0_average","Case_average_onset","CCase_average_onset","Inf_quantile_n_average","H_quantile_n_average"
"58",0.372621182507738,1.63,11.403,11.5020666052462,0.618976246111325
"59",0.307587004072744,1.82,11.668,10.772580624279,0.616213913601161
"60",0.307811308897283,1.6,11.617,10.0794031404683,0.612817531988831
"61",0.255988610951962,1.7,11.879,9.26887082149222,0.608627726134524
"62",0.236488205326056,1.36,12.095,8.4899845308493,0.603471681175482
"63",0.251560600035228,1.59,12.063,7.86334927716752,0.597176536976565
"64",0.2633896267265,1.41,12.33,7.33417035359426,0.589586653980607
"65",0.295358033417155,1.14,12.521,6.9629269934932,0.580596501514097
"66",0.28832809116302,1,12.507,6.59163666842052,0.570178210289238
"67",0.355899184139421,0.98,12.763,6.39523533062213,0.55839301083718
"68",0.386202708215604,0.88,12.756,6.29555602496521,0.545380011511704
"69",0.477033610186002,0.9,12.77,6.3753299670591,0.531342040768386
"70",0.463463551226247,1.16,12.759,6.41098406913362,0.516535955672784
"71",0.57171563210131,0.95,12.902,6.60660920240657,0.501262280628959
"72",0.517585631739999,0.84,12.958,6.6710593275513,0.485840824129771
"73",0.64130173946783,0.88,13.293,6.88052640952345,0.470587958848743
"74",0.559277805861045,1.12,13.355,6.91374298109112,0.4557905395589
"75",0.5652554047832,1.09,12.953,6.8941710808074,0.441690649229231
"76",0.536138392740429,0.93,13.446,6.88303655795952,0.428469282749326
"77",0.577270207787977,1.16,13.562,6.94402869700866,0.416229639806018
"78",0.530919215228478,0.95,13.52,6.90138802703517,0.405005508366131
"79",0.640968402077662,0.93,13.701,7.0270603523205,0.394786104665941
"80",0.65941740685875,0.95,13.865,7.18305705309372,0.385531280175678
"81",0.648099850342438,1.17,14.118,7.23980976368393,0.377193087831288
"82",0.60104902466374,1.19,14.136,7.27389299628967,0.369736106545132
"83",0.757703709907199,0.99,14.191,7.51262803770274,0.363129473998364
"84",0.657122988160924,0.99,14.361,7.63778904534291,0.357335480512212
"85",0.692841243751409,1.08,14.381,7.81157287976984,0.352324460699296
"86",0.72448319528308,1.18,14.228,8.06107047305328,0.348078847681624
"87",0.85619031333538,1.26,14.576,8.49419494138414,0.344586437582362
"88",0.854037551510154,1.1,14.719,9.00209260720223,0.341847657704342
"89",0.996002737148643,1.25,14.895,9.82571668674289,0.339894598804058
"90",1.13644185186495,1.31,15.096,10.9033077345995,0.338804965601798
"91",0.948110880575454,1.54,15.08,11.5700359494954,0.33872152456401
"92",1.1147671564577,1.49,15.32,12.6257515285689,0.339862443290158
"93",1.09461724647881,1.71,15.427,13.557329914523,0.342463427224925
"94",1.20886965503129,1.95,15.535,14.6570258470972,0.346741680365629
"95",1.18163974615013,1.87,16.048,15.7824639181631,0.35288882387832
"96",1.1840797982915,2.08,16.015,16.9189374921932,0.361066052365116
"97",0.974818758178091,2.47,16.292,17.6056004273245,0.371407576530232
"98",0.812466574895194,2.41,17.013,17.8208302556248,0.384009212037956
"99",0.760326365153284,2.38,16.839,18.0159726279931,0.398872184306047
"100",0.818994567301727,2.75,17.113,18.4367670693821,0.415832659076815
"101",0.854259814415044,2.68,17.277,19.0088106204226,0.434568340379228
"102",0.898186497923829,2.63,17.612,19.9160977740001,0.454689105063287
"103",0.934748194777083,2.9,18.015,21.0643416042339,0.475839393467652
"104",0.883685871206638,2.78,18.208,22.1431175746566,0.497779251631119
"105",0.805031203542377,3.15,18.322,22.922928493582,0.520424810009957
"106",0.637569221510357,3.1,18.88,22.8779998360119,0.543815120524289
"107",0.565351340672006,3.08,19.419,22.5407591369482,0.568010059326909
"108",0.49230318535923,3.35,19.425,21.8610326854333,0.592944037308889
"109",0.561041051128593,3.16,19.701,21.5919467010338,0.618340102145862
"110",0.447974852780487,2.88,20.027,20.7698451423653,0.643726963759233
"111",0.432323504698544,3.31,20.645,20.1139714014299,0.668547521807117
"112",0.486244195904749,3.11,20.924,19.8493478182358,0.692232054608577
"113",0.518032515270537,3.06,21.106,19.874947508711,0.714247723149183
"114",0.548745659018192,3.32,21.303,20.1353810339124,0.734193874920916
"115",0.599440687225608,2.89,21.87,20.7013074785972,0.751878271380653
"116",0.661532774107372,2.82,21.834,21.4995854718988,0.767337725727968
"117",0.722627336179665,2.91,22.389,22.5724274967115,0.780824388241995
"118",0.835308917027485,3.26,22.194,24.0142746106331,0.792770435549055
"119",0.929520085640598,3.51,23.008,26.0331006915179,0.803745476718224
"120",1.156822759078,3.71,23.211,29.3834377502633,0.814430231584007
"121",1.51148121181237,3.85,23.663,34.2284076871888,0.825631255517429
"122",1.76573048791629,4.36,23.87,40.6139512304864,0.838380799278294
"123",2.0195825863411,5.17,25.022,48.797724056687,0.854076188779471
"124",2.27675964854602,6.39,25.14,58.9141963853432,0.874570088916422
"125",2.38680508495097,7.02,25.956,70.4560954688176,0.90220810475421
"126",2.39817814000638,8.7,26.79,84.4654865604315,0.939823273518299
"127",2.04046263791195,10.59,27.805,96.7841169492056,0.990654553787992
"128",1.54902325798553,12.85,28.972,104.487594144629,1.05823633048624
"129",1.33309810563401,13.49,30.69,110.818018696956,1.14591057863435
"130",1.41284807614212,14.76,31.773,119.776082074342,1.25587769705307
"131",1.33205557579172,16.04,33.454,130.399932464333,1.38866514457175
"132",1.42736565364646,18.18,35.556,144.545467525617,1.5435944083328
"133",1.3331609136846,19.65,36.948,158.229641224638,1.71966176486197
"134",1.21379544150419,20.98,39.243,171.157993878717,1.91630435257644
"135",1.30148395991491,22.76,41.759,187.05779001075,2.13358769347621
"136",1.35825513572501,24.64,43.81,205.570417496241,2.37189717074755
"137",1.38783521855322,27.61,47.264,227.648984143111,2.63190586369262
"138",1.56553662789492,31.12,49.899,256.375901471131,2.91484718704141
"139",1.64043202444205,33.38,53.016,288.850913802065,3.22285639445465
"140",1.29028753502513,37.93,56.877,308.955693820636,3.55946365936721
"141",1.08354888729227,40.58,60.687,322.017265502923,3.92955131968259
"142",0.746083246187869,44.32,65.556,319.482469381909,4.33739001852678
"143",0.688942139762684,44.33,70.246,315.271573090505,4.78410103661618
"144",0.612624377019652,45.06,74.529,310.236636128932,5.2657677186543
"145",0.547645256091923,46.54,79.277,302.674874135201,5.77347007314934
"146",0.471099963017249,45.46,83.786,291.767082914032,6.29519505866852
"147",0.456479341368893,44.59,88.207,281.524555043681,6.81775904109332
